Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:    766, rd_minus:    670, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 140 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1944, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 141 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  21000, rd_minus:  14286, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 142 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3612, rd_minus:   3712, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 143 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3936, rd_minus:   3848, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 144 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1014, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 145 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    878, rd_minus:    858, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 146 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4264, rd_minus:   4048, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 147 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1736, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 148 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4512, rd_minus:   4772, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 149 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   9286, rd_minus:  12714, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 150 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    916, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 151 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  20390, rd_minus:  20500, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 152 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   8564, rd_minus:   8012, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 153 / 8216, payload_bits 8192, end_bits 24
